code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled
CSN,419 (2A),KLAX,MMMX,,B-2080,37000,,4:30,8:52,4:22,,226,C,4,1
CSN,419 (2B),ZSPD,KLAX,,B-2080,38000,,13:28,2:03,12:35,,783,C,5,1
CSN,419 (3A),ZSPD,KLAX,,B-2080,38000,,1:36,2:39,1:03,,783,C,6,1
CSN,420 (1A),MMMX,KLAX,,B-2080,38000,,10:30,14:40,4:10,,226,C,6,1
CSN,420 (1B),KLAX,ZSPD,,B-2080,37000,,16:15,5:20,13:05,,783,C,16,1
CSN,420 (2A),MMMX,KLAX,,B-2080,38000,,9:59,14:11,4:12,,226,C,1,1
CSN,420 (2B),KLAX,ZSPD,,B-2080,37000,,17:30,7:43,14:13,,783,C,4,1
CSN,420 (3A),MMMX,KLAX,,B-2080,38000,,10:30,15:56,5:26,,226,C,4,1
CSN,431 (1A),PANC,KORD,,B-2042,37000,,12:20,17:55,5:35,,372,C,16,1
CSN,431 (1B),ZSPD,PANC,,B-2042,38000,,1:35,11:00,9:25,,537,C,16,1
CSN,431 (2A),PANC,KORD,,B-2042,37000,,9:40,15:15,5:35,,372,C,4,1
CSN,431 (2B),ZSPD,PANC,,B-2042,38000,,21:40,7:10,9:30,,537,C,0,1
CSN,431 (3A),ZSPD,PANC,,B-2042,38000,,22:50,8:20,9:30,,537,C,3,1
CSN,431 (3B),PANC,KORD,,B-2042,37000,,3:30,9:30,6:00,,372,C,2,1
CSN,431 (4A),ZSPD,PANC,,B-2042,38000,,19:00,4:30,9:30,,537,C,5,1
CSN,431 (4B),PANC,KORD,,B-2042,37000,,8:00,14:00,6:00,,372,C,3,1
CSN,431 (5A),PANC,KORD,,B-2042,37000,,10:00,16:00,6:00,,372,C,5,1
CSN,431 (5B),ZSPD,PANC,,B-2042,38000,,17:15,1:14,7:59,,537,C,4,1
CSN,431 (6A),PANC,KORD,,B-2042,37000,,2:00,8:00,6:00,,372,C,0,1
CSN,432 (1),KORD,ZSPD,,B-2041,37000,,14:05,22:55,8:50,,847,C,0,1
CSN,432 (2),KORD,ZSPD,,B-2041,37000,,21:25,11:00,13:35,,847,C,4,1
CSN,432 (3),KORD,ZSPD,,B-2041,37000,,21:30,11:05,13:35,,847,C,1,1
CSN,432 (4),KORD,ZSPD,,B-2041,37000,,1:25,15:05,13:40,,847,C,5,1
CSN,432 (5),KORD,ZSPD,,B-2041,37000,,23:35,13:00,13:25,,847,C,6,1
CSN,432 (6),KORD,ZSPD,,B-2041,37000,,11:35,2:47,15:12,,847,C,2,1
CSN,432 (7),KORD,ZSPD,,B-2041,37000,,16:05,8:03,15:58,,847,C,3,1
CSN,433 (1A),PANC,KORD,,B-20EN,37000,,9:30,15:05,5:35,,372,P,3,1
CSN,433 (1B),ZSPD,PANC,,B-20EN,38000,,22:00,7:30,9:30,,537,P,2,1
CSN,433 (2A),PANC,KORD,,B-20EN,37000,,2:10,8:10,6:00,,372,P,4,1
CSN,433 (2B),ZSPD,PANC,,B-20EN,38000,,12:00,19:59,7:59,,537,P,3,1
CSN,434 (1),KORD,ZSPD,,B-20EN,37000,,1:25,16:25,15:00,,847,P,5,1
CSN,434 (2),KORD,ZSPD,,B-20EN,37000,,20:50,10:25,13:35,,847,P,3,1
CSN,434 (3),KORD,ZSPD,,B-20EN,37000,,5:35,19:55,14:20,,847,P,4,1
CSN,435 (1A),ZSPD,PANC,,B-2041,38000,,16:25,1:55,9:30,,537,C,6,1
CSN,435 (1B),PANC,KORD,,B-2072,37000,,2:55,8:30,5:35,,372,C,0,1
CSN,435 (2A),ZSPD,PANC,,B-2041,38000,,17:00,2:30,9:30,,537,C,1,1
CSN,435 (2B),PANC,KORD,,B-2072,37000,,3:30,9:05,5:35,,372,C,2,1
