Dep,Arr,Route
ZBAA,VVPQ/VVPC/VVCI/VCRI/VVNB/VVTS/VTSG/VDPP/VCBI/FIMP/VRMM/VTBS/VTBD/FIMP/VTSP/VTCC/VDSV/VVCR/VVDN/VDSR,RUSDO W45 NUPTI R343 WUY R474 TEBAK
ZBAA,UIAA,DOTRA B334 TGO W27 IKITI A345 TELOK
ZBAA,VHHH,RUSDO W45 IPLEV B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
ZBAA,VMMC,RUSDO W45 IPLEV B458 DADGA W37 OMBEB R473 NOLON W90 POU W7 SAREX W6 LATOP
ZBAA,ZBCF,DOTRA B334 KAKAT
ZBAA,ZBCZ,RUSDO W45 VAGBI B215 EKETA B208 SQ
ZBAA,ZBDS,BOTPU W47 UGPOR
ZBAA,ZBER,IDKEX B339 ASILA A575 LHT
ZBAA,ZBES,IDKEX B339 ERVEB H13 IKITI A345 P155 J92 ALS
ZBAA,ZBHH,BOTPU W47 VIGEK W96 UPSUR W69 LUGVU
ZBAA,ZBLA,IDKEX B339 ERVEB H13 IKITI A345 HLD
ZBAA,ZBLF,RUSDO W45 VAGBI B215 EKETA B208 TYN J167 LQL
ZBAA,ZBLL,RUSDO W45 VAGBI B215 LEBOM
ZBAA,ZBMZ,IDKEX B339 ERVEB H13 IKITI A345 KAGAK W538 MZL
ZBAA,ZBMZ,IDKEX B339 POLHO SARUL G338 IKARU W606 MZL
ZBAA,ZBOW,BOTPU W47 VIGEK W96 UPSUR W69 EGILO
ZBAA,ZBSJ,OMDEK W37 LOVTI W623 LIKTI
ZBAA,ZBTL,DOTRA B334 TGO
ZBAA,ZBUC,BOTPU W47 VIGEK W96 SELGO J182 P524
ZBAA,ZBUH,BOTPU W47 IDSOT W48 DKO J59 WUH
ZBAA,ZBUL,IDKEX B339 ERVEB H13 HLH
ZBAA,ZBXH,IDKEX B339 ERVEB H13 HOT
ZBAA,ZBYC,RUSDO W45 VAGBI B215 EKETA B208 TYN W175 YCE
ZBAA,ZBYN,RUSDO W45 VAGBI B215 EKETA B208 TYN
ZBAA,ZBYZ,BOTPU W47 VIGEK W96 UPSUR W69 ATSAV
ZBAA,ZGBH,RUSDO W45 NUPTI R343 LBN H82 BHY
ZBAA,ZGCD,RUSDO W45 LIN
ZBAA,ZGCJ,RUSDO W45 P294 H24 P159 J452 ZHJ
ZBAA,ZGDY,RUSDO W45 LIN W141 DYG
ZBAA,ZGGG,RUSDO W45 TAN
ZBAA,ZGHA,RUSDO W45 IPLEV B458 DADGA W37 PEXID
ZBAA,ZGHY,RUSDO W45 NUPTI
ZBAA,ZGKL,RUSDO W45 NUPTI R343 ONEMI
ZBAA,ZGMX,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H2 XLN A470 TEBON W155 DABER
ZBAA,ZGMX,ELKUR W40 PANKI W158 AR H104 ATVIM W127 SEGPI V39 P558 X43 JDZ H2 XLN A470 TEBON W155 DABER
ZBAA,ZGNN,RUSDO W45 NUPTI R343 WUY
ZBAA,ZGOW,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H2 DO H22 P508 J175 P509 H98 P510 J176 DABER
ZBAA,ZGOW,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 HFE H2 DO H22 P508 J175 P509 H98 P510 J176 DABER
ZBAA,ZGOW,ELKUR W40 PANKI W158 AR H104 ATVIM W127 SEGPI V39 P558 X43 JDZ H2 DO H22 P508 J175 P509 H98 P510 J176 DABER
ZBAA,ZGOW,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 SEGPI V39 P558 X43 JDZ H2 DO H22 P508 J175 P509 H98 P510 J176 DABER
ZBAA,ZGSD,RUSDO W45 IPLEV B458 DADGA W37 OMBEB R473 NOLON W90 POU W7 ZUH
ZBAA,ZGSZ,RUSDO W45 IPLEV B458 DADGA W37 OMBEB R473 NOLON W90 POU W7 SAREX W6 NLG W509 KEVAR
ZBAA,ZGYL,RUSDO W45 NUPTI R343 LBN H82 P20 J375 DYL
ZBAA,ZGYY,RUSDO W45 LIN
ZBAA,ZGZH,RUSDO W45 NUPTI R343 VQ JW H83 LIU
ZBAA,ZGZJ,RUSDO W45 NUPTI R343 LBN H82 BHY J567 P235
ZBAA,ZHCC,RUSDO W45 SQ B208 NOPIN
ZBAA,ZHES,RUSDO W45 RUXIL W53 YIH W241 ATSUD W80 POVUN W239 ENH
ZBAA,ZHHH,RUSDO W45 IGEDU B213 AVPID
ZBAA,ZHLY,RUSDO W45 VAGBI B215 EKETA B208 SQ W45 LYA
ZBAA,ZHNY,RUSDO W45 ML
ZBAA,ZHSY,RUSDO W45 ML H11 P62 J190 DSY
ZBAA,ZHXF,RUSDO W45 NO
ZBAA,ZHYC,RUSDO W45 RUXIL W53 YIH
ZBAA,ZJHK,RUSDO W45 NUPTI R343 LBN H82 BHY W70 NYB
ZBAA,ZJQH,RUSDO W45 NUPTI R343 LBN H82 BHY W70 NYB G221 ANPIM
ZBAA,ZJSY,RUSDO W45 NUPTI R343 LBN H82 BHY W70 NYB G221 WL
ZBAA,ZLDH,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 P161
ZBAA,ZLDH,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 DKO A596 YBL V67 P27 X135 P163
ZBAA,ZLDH,BOTPU W47 IDSOT W48 MAKIP H53 MULOB W220 NIRUV B215 TODOD
ZBAA,ZLGY,BOTPU W47 P539 H32 QIY W213 GUY
ZBAA,ZLIC,BOTPU W47 IDSOT W48 MAKIP H53 MULOB W220 NIRUV B215 YHD
ZBAA,ZLLL,BOTPU W47 IDSOT W48 MAKIP H53 MULOB W220 NIRUV B215 P203
ZBAA,ZLXN,BOTPU W47 IDSOT W48 MAKIP H53 MULOB W220 NIRUV B215 JTA W198 PANRA
ZBAA,ZLXY,BOTPU W47 LOVRA
ZBAA,ZLYA,BOTPU W47 P531
ZBAA,ZLYL,BOTPU W47 P530
ZBAA,ZLYS,BOTPU W47 IDSOT W48 MAKIP H53 MULOB W220 NIRUV B215 JTA W198 PANRA H60 XNN Z1 YUS
ZBAA,ZLZW,BOTPU W47 IDSOT W48 MAKIP H53 MULOB W220 NIRUV B215 BELIP J372 ZWX
ZBAA,ZPBS,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 XFA A581 SGM H90 BSD
ZBAA,ZPDL,BOTPU W47 LOVRA W540 DOVOP H138 ONEBA G212 BOPTU W162 P259 H158 P513 J174 LJA
ZBAA,ZPJH,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 XFA A581 BIDRU
ZBAA,ZPLJ,BOTPU W47 LOVRA W540 DOVOP H138 ONEBA G212 BOPTU W162 P259 H158 P513
ZBAA,ZPMS,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 XFA A581 SGM H90 LUM
ZBAA,ZPPP,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 DS W180 BONSA W91 IDSID W30 MEBNA
ZBAA,ZPPP,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 MEBNA
ZBAA,ZPTC,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 XFA A581 SGM H90 BSD J556 TEC
ZBAA,ZSAM,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H2 DO
ZBAA,ZSAM,ELKUR W40 YQG W142 DALIM A593 DPX A470 OLRIS V143 EMRID A470 AMURI
ZBAA,ZSAM,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 HFE H2 DO
ZBAA,ZSAM,ELKUR W40 YQG W142 DALIM A593 DPX A470 AMURI
ZBAA,ZSAM,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 SEGPI V39 P558 X43 JDZ H2 DO
ZBAA,ZSAM,ELKUR W40 PANKI W158 AR H104 ATVIM W127 SEGPI V39 P558 X43 JDZ H2 DO
ZBAA,ZSAQ,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H96 PA
ZBAA,ZSAQ,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 HFE H96 PA
ZBAA,ZSCG,ELKUR W40 YQG W142 DALIM A593 XUTGU W582 ZJ
ZBAA,ZSCN,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H2 P468 H47 P66
ZBAA,ZSCN,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 HFE H2 P468 H47 P66
ZBAA,ZSDY,ELKUR W40 GUSIR W4 DYN
ZBAA,ZSFY,RUSDO W45 VAGBI B215 EKETA B208 FYG
ZBAA,ZSFZ,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H2 DO J47 FQG
ZBAA,ZSFZ,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 HFE H2 DO J47 FQG
ZBAA,ZSFZ,ELKUR W40 YQG W142 DALIM A593 DPX A470 LJG
ZBAA,ZSFZ,ELKUR W40 PANKI W158 AR H104 ATVIM W127 SEGPI V39 P558 X43 JDZ H2 DO J47 FQG
ZBAA,ZSFZ,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 SEGPI V39 P558 X43 JDZ H2 DO J47 FQG
ZBAA,ZSGS,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H2 P262 H46 RUNEK W19 PANBO J646 JGS
ZBAA,ZSGS,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 HFE H2 P262 H46 RUNEK W19 PANBO J646 JGS
ZBAA,ZSGS,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H2 P468 H47 EMRAL W105 NCH H46 RUNEK W19 PANBO J646 JGS
